AnnualAverageWaterLevel,AnnualMaximumDailyWaterLevel,AnnualMaximumMomentWaterLevel,AnnualMinimumDailyWaterLevel,AnnualMinimumMomentWaterLevel,AnnualOccurredDateOfMaximumDailyWaterLevel,AnnualOccurredDateOfMinimumDailyWaterLevel,AnnualOccurredTimeOfMaximumMomentWaterLevel,AnnualOccurredTimeOfMinimumMomentWaterLevel,WellIdentifier,Year
"59.66","68.26","68.10","50.39","50.38","1006","0520","093022","052109","13110121","2003"
"60.39","69.68","69.69","50.91","50.44","0920","0522","092004","050711","13110121","2004"
"63.25","75.30","75.31","53.60","53.59","0727","0507","072703","050709","13110121","2005"
"63.34","73.16","73.19","55.06","55.06","0801","0416","080205","041521","13110121","2006"
"60.66","72.89","72.91","50.65","50.64","0916","0521","091603","052110","13110121","2007"
"64.50","73.79","73.81","53.98","53.97","0803","0601","080305","060121","13110121","2008"
"62.38","72.81","72.83","55.24","55.24","0823","0429","082303","042821","13110121","2009"
"59.28","68.64","68.67","50.57","50.56","1010","0524","101104","052409","13110121","2010"
"56.74","64.98","65.01","50.18","50.17","0925","0513","092703","051320","13110121","2011"
"59.41","70.24","70.26","48.86","48.86","0708","0504","070804","050408","13110121","2012"
"57.21","69.08","69.10","48.85","48.84","1004","0518","100415","051819","13110121","2013"
"56.21","62.73","62.75","50.35","50.34","0920","0523","092103","052320","13110121","2014"
"55.82","65.77","65.79","47.06","47.05","0920","0523","092016","052320","13110121","2015"
"59.83","72.68","72.74","44.38","44.36","1003","0714","100316","071416","13110121","2016"
"57.58","66.01","66.04","49.11","49.08","0821","0516","082116","051822","13110121","2017"
"57.45","72.94","72.99","46.41","44.46","0911","0604","091116","092516","13110121","2018"
"57.80","70.15","70.20","48.37","48.35","0902","0517","090305","051620","13110121","2019"
"54.67","63.71","63.73","47.80","47.79","0915","0517","091515","051619","13110211","1997"
"55.78","61.25","61.26","49.41","49.41","0625","0228","062512","022811","13110211","1998"
"54.90","65.21","65.22","45.71","45.71","0813","0505","081303","050509","13110211","1999"
"54.51","64.40","64.42","47.24","47.23","0825","0424","082517","042408","13110211","2000"
"56.37","64.94","64.96","45.44","45.43","0930","0519","093001","051919","13110211","2001"
"53.28","62.47","62.48","44.24","44.24","0815","0521","081514","052107","13110211","2002"
"52.44","61.93","61.93","42.36","42.35","1001","0606","093014","060618","13110211","2003"
"53.45","62.80","62.81","43.59","43.59","0915","0521","091506","052015","13110211","2004"
"55.40","64.86","64.89","46.47","46.47","0902","0510","090201","050919","13110211","2005"
"55.19","64.72","64.74","46.49","46.48","0727","0514","072715","051418","13110211","2006"
"53.58","64.61","64.61","43.73","43.71","0913","0519","091305","051908","13110211","2007"
"56.18","65.07","65.13","46.12","46.12","0730","0529","072919","052817","13110211","2008"
"53.68","64.28","64.29","47.04","47.03","0906","0525","090614","052515","13110211","2009"
"53.37","62.49","62.49","43.99","43.98","0927","0523","092712","052322","13110211","2010"
"50.64","58.05","58.06","44.07","44.06","0923","0513","092313","051311","13110211","2011"
"53.20","63.32","63.34","44.06","44.05","0701","0416","063024","041612","13110211","2012"
"50.76","63.34","63.34","43.31","43.01","1010","0518","100916","051718","13110211","2013"
"48.68","54.92","54.93","43.77","42.98","1005","0520","100424","081420","13110211","2014"
"48.94","57.14","57.15","40.87","40.86","1009","0523","100907","052307","13110211","2015"
"54.14","65.42","65.48","34.02","34.01","0929","0925","092903","092420","13110211","2016"
"52.37","60.55","60.57","44.94","44.93","0906","0524","090701","052409","13110211","2017"
"52.36","65.41","65.48","41.78","34.21","0829","0604","082915","091112","13110211","2018"
"52.76","64.08","64.09","43.55","43.54","0831","0519","083105","052007","13110211","2019"
"49.19","-999998.00","-999998.00","-999998.00","-999998.00","","","","","13110221","1996"
"54.50","63.33","63.35","47.72","47.69","0915","0516","091515","051619","13110221","1997"
"55.64","61.00","61.02","49.35","49.34","0625","0228","062506","022722","13110221","1998"
"54.72","64.84","64.88","45.56","45.55","0813","0505","081321","050502","13110221","1999"
"54.34","64.01","64.05","47.12","47.10","0825","0424","082524","042512","13110221","2000"
"56.13","64.45","64.47","45.26","45.24","0930","0519","093009","051919","13110221","2001"
"53.13","62.07","62.08","44.07","44.05","0815","0520","081511","052015","13110221","2002"
"52.25","61.57","61.57","42.25","42.23","1001","0606","093015","060618","13110221","2003"
"53.27","62.43","62.45","43.51","42.91","0915","0520","091504","050713","13110221","2004"
"55.68","65.51","65.60","46.36","46.36","0721","0509","072115","050609","13110221","2005"
"54.96","64.41","64.42","46.39","46.38","0728","0514","072803","051411","13110221","2006"
"53.35","64.25","64.27","43.65","43.63","0914","0519","091404","051910","13110221","2007"
"55.96","64.70","64.71","46.03","46.02","0730","0529","073003","052818","13110221","2008"
"54.29","63.99","64.00","47.08","47.07","0906","0525","090615","052509","13110221","2009"
"52.63","62.18","62.18","43.95","43.93","0928","0523","092804","052307","13110221","2010"
"50.52","57.86","57.87","43.99","43.98","0923","0514","092302","051407","13110221","2011"
"53.23","62.89","62.90","44.00","44.00","0701","0422","063024","041704","13110221","2012"
"51.25","60.86","60.94","47.13","47.12","1009","0219","100813","021909","13110221","2013"
"48.56","54.84","54.86","36.91","36.91","1007","0207","100804","020613","13110221","2014"
"48.60","57.17","57.19","40.80","40.79","1009","0523","100914","052308","13110221","2015"
"53.89","65.11","65.14","34.04","34.02","0929","0921","092914","092106","13110221","2016"
"52.18","60.10","60.12","44.88","44.86","0907","0521","090617","052222","13110221","2017"
"52.13","65.00","65.02","41.69","34.23","0830","0604","082918","091112","13110221","2018"
"52.82","64.18","64.19","43.49","43.48","0831","0519","083106","052010","13110221","2019"
"46.81","47.43","47.44","46.04","46.03","0806","1231","080605","123109","13110311","1998"
"45.53","49.30","49.33","41.56","41.55","0813","0430","081302","043011","13110311","1999"
"45.25","48.79","48.83","42.32","42.31","0825","0609","082504","060915","13110311","2000"
"45.84","48.99","49.04","41.44","41.42","0930","0519","092923","051908","13110311","2001"
"44.86","47.63","47.66","40.75","40.73","0807","0516","080721","051617","13110311","2002"
"44.22","47.41","47.44","39.31","39.28","0903","0606","090314","060618","13110311","2003"
"44.71","47.99","48.01","40.19","40.18","0912","0520","091212","052014","13110311","2004"
"46.09","50.81","51.07","42.13","42.12","0720","0506","072019","050607","13110311","2005"
"46.13","49.68","49.74","42.70","42.69","0715","0413","071510","041310","13110311","2006"
"45.24","49.86","49.91","40.71","40.69","0820","0518","082011","051906","13110311","2007"
"46.42","49.71","49.79","42.23","42.21","0719","0519","072917","052007","13110311","2008"
"46.38","51.22","51.40","42.68","42.66","0809","0525","080909","052510","13110311","2009"
"46.14","50.74","50.94","41.11","41.10","0920","0523","092004","052307","13110311","2010"
"44.74","47.94","47.97","40.92","40.90","0831","0513","083116","051308","13110311","2011"
"45.87","49.90","49.95","40.97","40.96","0621","0425","062104","042509","13110311","2012"
"44.80","49.35","49.41","40.84","40.83","0901","0426","090103","042616","13110311","2013"
"44.04","46.97","46.98","40.79","40.78","0923","0504","092222","050508","13110311","2014"
"43.23","47.39","47.40","38.47","38.46","1001","0521","100115","052108","13110311","2015"
"44.24","48.57","48.73","40.77","40.76","0929","0411","092903","041111","13110311","2016"
"43.69","46.68","46.69","39.55","39.53","0802","0516","080216","051609","13110311","2017"
"42.87","48.65","48.70","37.25","32.94","0829","0604","082913","091412","13110311","2018"
"43.23","47.49","47.59","38.95","38.92","0817","0501","081620","050510","13110311","2019"
"46.82","47.42","47.43","45.98","45.97","0806","1231","080616","123110","13110321","1998"
"45.48","49.29","49.33","41.49","41.49","0813","0430","081301","042919","13110321","1999"
"45.21","48.75","48.80","42.24","42.23","0825","0609","082421","060916","13110321","2000"
"45.80","48.94","49.01","41.36","41.33","0930","0518","092921","051908","13110321","2001"
"44.76","47.57","47.59","40.67","40.66","0808","0516","080721","051618","13110321","2002"
"44.14","47.34","47.37","39.22","39.20","0903","0606","090314","060622","13110321","2003"
"44.40","48.06","48.07","40.07","39.32","0912","0520","091212","050710","13110321","2004"
"46.06","50.72","50.97","42.03","42.02","0720","0506","072019","050605","13110321","2005"
"46.07","49.61","49.67","42.59","42.58","0715","0413","071510","041309","13110321","2006"
"45.15","49.76","49.80","40.61","40.59","0820","0519","082011","051908","13110321","2007"
"46.38","49.65","49.79","42.12","42.11","0719","0520","072916","052006","13110321","2008"
"46.26","50.85","51.01","42.53","42.52","0809","0525","080911","052507","13110321","2009"
"46.23","50.42","50.58","40.98","40.96","0920","0523","092004","052307","13110321","2010"
"44.52","47.62","47.64","40.76","40.74","0901","0513","083124","051318","13110321","2011"
"45.77","49.84","49.90","40.95","40.94","0621","0425","062104","042509","13110321","2012"
"44.33","49.14","49.18","40.11","40.09","0901","0430","090103","043021","13110321","2013"
"43.90","46.75","46.76","40.72","40.71","0923","0504","092318","050410","13110321","2014"
"43.10","47.25","47.26","38.41","38.40","1002","0521","100122","052108","13110321","2015"
"44.15","48.52","48.66","40.65","40.64","0929","0411","092902","041111","13110321","2016"
"43.53","46.48","46.49","39.44","39.43","0802","0516","080216","051609","13110321","2017"
"42.73","48.54","48.59","37.14","32.91","0829","0604","082819","091412","13110321","2018"
"43.10","47.36","47.40","38.87","38.84","0818","0501","081620","050510","13110321","2019"
"61.83","64.67","64.69","56.37","56.31","0714","1231","071502","123124","13110411","1998"
"54.92","67.09","67.11","45.74","45.74","0901","0505","090112","050420","13110411","1999"
"56.12","67.60","67.61","46.50","46.47","0829","0422","082904","042223","13110411","2000"
"58.28","68.14","68.15","44.97","44.93","1001","0518","100103","051822","13110411","2001"
"54.83","66.14","66.15","43.89","43.87","0814","0516","081414","051606","13110411","2002"
"53.66","64.85","64.86","41.99","41.96","0930","0606","093015","060622","13110411","2003"
"52.01","65.55","65.57","43.53","43.49","0917","0518","091714","051814","13110411","2004"
"57.80","69.50","69.50","46.54","46.52","0722","0506","072202","050609","13110411","2005"
"55.77","68.12","68.13","46.02","45.97","0729","0424","072912","042411","13110411","2006"
"54.15","67.62","67.63","43.37","43.32","1012","0518","101215","051909","13110411","2007"
"57.03","68.19","68.19","45.96","45.92","0731","0519","073106","051917","13110411","2008"
"54.95","66.89","66.90","46.72","46.72","0820","0421","082013","042016","13110411","2009"
"53.14","64.67","64.69","43.65","43.62","1001","0522","100113","052222","13110411","2010"
"51.09","59.91","59.92","43.90","43.86","0921","0512","092103","051221","13110411","2011"
"54.40","66.84","66.87","43.79","43.77","0628","0429","062903","050315","13110411","2012"
"51.58","63.86","63.87","43.40","43.35","0930","0515","100105","051608","13110411","2013"
"49.56","55.65","55.68","39.97","39.97","1006","1113","100903","111217","13110411","2014"
"49.16","58.46","58.47","41.13","41.08","1010","0519","100914","052112","13110411","2015"
"55.04","68.37","68.40","33.96","33.95","0930","0721","093015","072114","13110411","2016"
"52.84","61.07","61.10","45.91","45.91","0814","0423","081504","041918","13110411","2017"
"52.86","67.94","67.96","41.67","33.87","0901","0604","090114","091115","13110411","2018"
"53.38","67.04","67.07","43.68","43.63","0831","0517","083116","051516","13110411","2019"
"60.52","63.80","63.82","55.31","55.24","0628","1231","062815","123123","13110421","1998"
"55.72","66.96","66.97","45.43","45.42","0814","0503","081404","050312","13110421","1999"
"55.24","66.21","66.23","46.28","46.26","0829","0426","082916","042121","13110421","2000"
"57.26","66.72","66.75","45.01","44.98","1002","0518","100216","051820","13110421","2001"
"53.83","64.25","64.26","43.73","43.70","0815","0515","081510","051510","13110421","2002"
"53.09","62.57","62.55","41.97","41.92","1002","0606","093007","060619","13110421","2003"
"54.17","64.18","66.69","43.32","43.28","0917","0518","063024","051813","13110421","2004"
"56.36","67.80","67.81","46.33","46.30","0724","0506","072406","050520","13110421","2005"
"54.82","66.36","66.37","45.76","45.73","0730","0426","073009","042711","13110421","2006"
"53.33","66.04","66.06","43.20","43.15","0827","0519","082716","051911","13110421","2007"
"56.09","66.60","66.61","45.68","45.66","0802","0526","080205","052518","13110421","2008"
"54.07","65.33","65.34","46.32","46.30","0820","0420","082005","042022","13110421","2009"
"52.42","63.27","63.28","43.48","43.45","1001","0522","100111","052221","13110421","2010"
"50.53","58.90","58.91","43.56","43.49","0920","0512","091916","051219","13110421","2011"
"53.55","65.16","65.20","43.54","43.50","0629","0502","062902","050119","13110421","2012"
"50.99","63.10","63.23","43.27","43.23","0927","0515","092715","051517","13110421","2013"
"49.62","54.92","54.94","42.05","42.04","1005","0308","100515","031709","13110421","2014"
"48.41","57.52","57.55","36.94","36.94","1009","0505","100904","042507","13110421","2015"
"53.40","66.76","66.78","36.90","36.89","1002","0721","100217","072218","13110421","2016"
"52.02","59.75","59.78","45.36","45.33","0814","0516","081407","051615","13110421","2017"
"52.09","66.28","66.31","41.55","36.94","0902","0601","090217","091115","13110421","2018"
"52.63","65.43","65.46","43.45","43.42","0831","0515","090107","051513","13110421","2019"
"51.12","61.09","54.94","44.27","44.98","0817","0504","073124","033121","131111M1","1994"
"50.38","54.26","54.26","45.60","45.59","0823","0508","082214","050721","131111M1","1995"
"49.51","56.27","56.28","42.61","42.60","0901","0420","090104","042022","131111M1","1996"
"51.39","56.82","56.83","46.81","46.80","0910","0518","091017","051809","131111M1","1997"
"51.77","55.12","55.12","47.48","47.48","0810","0301","081005","022820","131111M1","1998"
"51.27","58.08","58.09","44.35","44.35","0817","0506","081622","050520","131111M1","1999"
"51.11","57.41","57.42","46.58","46.58","0829","0610","082909","060923","131111M1","2000"
"52.10","57.75","57.76","44.60","44.59","1003","0519","100312","051916","131111M1","2001"
"49.76","55.26","55.26","43.17","43.16","0823","0518","082213","051919","131111M1","2002"
"46.24","49.08","49.09","43.58","43.58","0101","0407","010101","040707","131111M1","2003"
"20.80","22.50","22.75","19.06","18.88","1106","1231","110206","123113","13120111","1995"
"18.87","24.01","24.07","13.68","13.45","0903","0419","090317","041819","13120111","1996"
"20.28","25.64","25.68","13.84","13.64","0911","0514","091115","051619","13120111","1997"
"21.02","23.95","23.99","16.31","16.09","0829","0412","082924","041119","13120111","1998"
"20.92","26.67","26.70","14.98","14.66","0816","0524","081705","052319","13120111","1999"
"20.46","26.18","26.23","15.19","14.86","0829","0604","083001","060418","13120111","2000"
"21.56","26.86","26.89","14.43","14.11","1004","0518","100402","051517","13120111","2001"
"19.69","23.94","24.05","14.02","13.76","0822","0512","082405","051217","13120111","2002"
"19.80","25.39","25.34","13.88","13.59","1004","0601","093004","060115","13120111","2003"
"19.76","24.59","24.67","14.34","14.05","1007","0516","100705","051618","13120111","2004"
"21.37","26.50","26.53","15.08","14.68","0724","0505","072405","050519","13120111","2005"
"20.71","26.03","26.09","14.96","14.69","0731","0510","073104","052619","13120111","2006"
"20.03","26.47","26.52","13.76","13.54","0826","0516","082805","051517","13120111","2007"
"21.68","26.34","26.38","15.46","15.13","0804","0517","080504","051818","13120111","2008"
"19.58","24.85","24.89","15.18","14.89","0909","0521","090903","052118","13120111","2009"
"19.31","25.04","25.09","13.88","13.51","0929","0518","092903","051618","13120111","2010"
"18.85","23.24","23.34","13.78","13.37","0920","0619","092404","061919","13120111","2011"
"20.52","25.41","25.47","15.22","14.84","0903","0416","090405","041518","13120111","2012"
"18.42","23.95","24.15","14.76","14.49","1012","0515","101106","051518","13120111","2013"
"18.80","22.66","22.74","15.03","14.63","1005","0602","100506","060219","13120111","2014"
"18.35","23.12","23.20","13.20","12.28","0910","0518","091104","050613","13120111","2015"
"20.72","26.65","26.69","15.43","15.00","0930","0508","093006","050719","13120111","2016"
"19.97","23.42","23.47","15.12","14.64","0914","0514","091404","051419","13120111","2017"
"20.88","27.03","27.05","14.32","9.31","0831","0530","083101","092010","13120111","2018"
"21.14","26.96","27.00","15.69","15.30","0827","0430","082704","042919","13120111","2019"
"20.90","22.49","22.55","19.22","19.16","1102","1231","110212","123122","13120121","1995"
"18.90","23.90","23.91","13.98","13.94","0906","0419","090615","041924","13120121","1996"
"20.37","25.52","25.53","14.20","14.16","0917","0517","091808","051701","13120121","1997"
"21.02","23.86","23.88","16.60","16.50","0830","0412","083012","041302","13120121","1998"
"20.95","26.39","26.41","15.31","15.26","0818","0524","081813","042524","13120121","1999"
"20.45","25.87","25.89","15.41","15.34","0903","0606","090308","060524","13120121","2000"
"21.59","26.76","26.77","14.80","14.72","1005","0518","100509","051822","13120121","2001"
"19.72","23.76","23.79","14.26","14.23","0824","0515","082411","051301","13120121","2002"
"19.82","25.20","25.13","14.22","14.15","1004","0602","093024","060123","13120121","2003"
"19.80","24.48","24.49","14.58","14.55","1007","0517","100710","051721","13120121","2004"
"21.40","26.26","26.28","15.42","15.32","0726","0505","072609","050524","13120121","2005"
"20.74","25.87","25.88","15.20","15.15","0806","0510","080517","051021","13120121","2006"
"20.06","26.32","26.33","14.07","14.01","0901","0516","090107","051623","13120121","2007"
"21.71","26.19","26.21","15.72","15.67","0816","0519","081516","051822","13120121","2008"
"19.61","24.66","24.67","15.36","15.32","0910","0522","091008","052221","13120121","2009"
"19.42","24.88","24.88","14.22","14.21","0930","0518","093007","051701","13120121","2010"
"18.97","23.21","23.21","14.21","14.13","1002","0620","100211","061924","13120121","2011"
"20.58","25.36","25.36","15.51","15.44","0908","0416","090715","041622","13120121","2012"
"18.79","24.41","24.41","15.09","15.01","1004","0426","100404","051523","13120121","2013"
"18.65","22.60","22.61","15.36","15.31","1005","0430","100514","043021","13120121","2014"
"18.39","23.02","23.03","13.46","13.42","0923","0519","092315","051901","13120121","2015"
"20.76","26.71","26.72","15.71","15.65","1002","0509","100207","050824","13120121","2016"
"20.01","23.40","23.46","15.31","15.26","0910","0515","091210","051424","13120121","2017"
"20.87","27.15","27.17","14.53","12.37","0904","0531","090216","092010","13120121","2018"
"21.14","27.02","27.03","15.92","15.83","0831","0430","083015","043023","13120121","2019"
"23.68","24.48","24.53","22.07","21.99","0827","1218","082706","121822","13120211","1998"
"21.96","25.37","25.41","17.50","17.41","0812","0425","081206","042423","13120211","1999"
"21.96","25.17","25.21","18.10","18.01","0828","0605","082817","060516","13120211","2000"
"22.53","25.46","25.48","17.55","17.49","0929","0518","093006","051816","13120211","2001"
"21.47","24.87","24.91","16.76","16.64","0811","0516","081205","051621","13120211","2002"
"21.66","24.86","24.88","17.48","17.44","0928","0509","092803","050911","13120211","2003"
"21.96","25.17","25.20","17.32","17.20","0925","0517","092603","051714","13120211","2004"
"22.80","25.33","25.35","18.68","18.54","0903","0505","090205","050521","13120211","2005"
"22.47","25.42","25.44","18.22","18.15","0727","0511","072705","051111","13120211","2006"
"22.11","25.44","25.56","17.62","17.53","0821","0517","081824","051621","13120211","2007"
"22.80","25.46","25.52","18.54","18.46","0729","0519","072905","051821","13120211","2008"
"21.94","25.12","25.15","18.65","18.59","0814","0522","081505","052121","13120211","2009"
"21.95","25.27","25.38","17.63","17.55","0922","0520","092001","052019","13120211","2010"
"22.00","25.07","25.09","18.27","18.19","0906","0511","090617","051117","13120211","2011"
"22.62","25.36","25.37","19.43","19.39","0622","0416","062102","041519","13120211","2012"
"22.06","24.95","24.97","19.01","18.96","0925","0330","092506","033019","13120211","2013"
"21.90","24.70","24.72","19.05","18.99","0816","0430","081708","042921","13120211","2014"
"21.62","24.71","24.72","17.12","17.06","0905","0519","090417","051922","13120211","2015"
"26.30","28.65","28.73","21.69","21.66","0929","0102","092822","010213","13120211","2016"
"25.67","28.02","28.03","22.16","22.07","0808","0515","080805","051420","13120211","2017"
"25.58","28.71","28.74","21.53","17.36","0829","0531","082907","092012","13120211","2018"
"25.80","28.60","28.62","22.55","22.52","0825","0415","082506","041522","13120211","2019"
"23.31","24.13","24.41","21.35","20.12","0917","1213","091515","121318","13120221","1998"
"21.61","24.85","25.05","16.79","16.11","0812","0526","081204","052521","13120221","1999"
"21.67","24.69","24.86","16.54","15.88","0828","0605","083002","060514","13120221","2000"
"22.21","25.01","25.15","17.19","16.13","0930","0516","100404","050117","13120221","2001"
"21.05","24.34","24.53","15.88","14.97","0811","0516","081204","042219","13120221","2002"
"21.32","24.58","24.66","16.56","14.58","1001","0507","093004","050717","13120221","2003"
"21.67","24.77","24.88","16.78","15.89","1001","0517","100103","051713","13120221","2004"
"22.59","25.09","25.23","17.67","16.15","0901","0503","090305","050320","13120221","2005"
"22.29","25.02","25.11","17.78","17.00","0728","0511","072804","032121","13120221","2006"
"21.98","25.07","25.17","17.05","16.27","1011","0511","081901","051520","13120221","2007"
"22.42","25.05","25.14","18.13","17.31","1001","0517","093005","051715","13120221","2008"
"21.84","24.65","24.80","18.47","17.56","0814","0521","081505","051218","13120221","2009"
"21.65","24.80","24.97","17.27","16.14","0926","0516","092001","041420","13120221","2010"
"21.70","24.52","24.64","17.60","16.64","0907","0511","090805","061818","13120221","2011"
"22.30","24.84","24.94","19.00","18.27","0909","0331","090917","033013","13120221","2012"
"21.68","24.30","24.42","18.76","17.53","0927","0325","092805","031719","13120221","2013"
"21.58","23.90","24.02","18.90","17.51","1003","0330","100205","033014","13120221","2014"
"21.12","23.86","24.01","16.62","15.56","0908","0519","090906","051620","13120221","2015"
"26.09","28.26","28.38","21.47","21.33","1001","0102","100206","010120","13120221","2016"
"25.51","27.58","27.70","21.80","20.35","0901","0514","090105","051419","13120221","2017"
"25.44","28.27","28.38","21.57","17.43","0829","0528","083007","092012","13120221","2018"
"25.75","28.22","28.31","22.50","21.76","0827","0412","082506","041217","13120221","2019"
"25.88","28.70","28.71","21.53","21.38","1021","0430","102018","042922","13120231","1999"
"25.35","28.28","28.30","22.15","22.14","1017","0611","101810","061108","13120231","2000"
"26.67","30.07","30.09","22.45","22.43","1021","0519","102111","051905","13120231","2001"
"24.98","27.58","27.61","21.99","21.99","0101","0520","010101","052003","13120231","2002"
"24.39","27.10","27.12","21.45","21.44","1023","0606","102314","060615","13120231","2003"
"24.96","27.83","27.84","21.79","21.76","1018","0520","101714","052009","13120231","2004"
"26.26","29.89","29.91","22.90","22.89","0923","0512","092219","050921","13120231","2005"
"25.73","28.99","29.00","22.50","22.49","0926","0516","092517","051614","13120231","2006"
"25.13","29.24","29.25","21.63","21.61","1027","0519","102713","051911","13120231","2007"
"26.39","29.66","29.67","22.58","22.56","1018","0526","101909","052813","13120231","2008"
"24.94","27.73","27.74","22.76","22.75","1102","0529","110214","052901","13120231","2009"
"24.63","28.00","28.01","21.68","21.66","1106","0528","110603","052810","13120231","2010"
"24.65","26.82","26.88","21.99","21.97","0101","0625","010116","062506","13120231","2011"
"25.62","28.55","28.67","22.50","22.47","0926","0426","092216","042905","13120231","2012"
"24.56","26.81","26.91","22.41","22.38","1013","0502","101413","043004","13120231","2013"
"24.21","25.99","26.07","22.23","22.12","1011","0519","101015","041014","13120231","2014"
"23.64","26.06","26.08","20.75","20.73","1104","0521","110619","052201","13120231","2015"
"29.05","32.31","32.32","24.99","18.46","1128","0104","112717","112412","13120231","2016"
"28.86","31.10","31.11","26.30","26.29","0101","0522","010101","052211","13120231","2017"
"28.57","32.14","32.15","24.96","18.20","1026","0610","102618","092013","13120231","2018"
"29.03","38.42","39.81","25.92","25.75","0912","0428","091121","042810","13120231","2019"
"30.18","30.78","30.81","29.42","29.40","1101","1231","110404","123117","13130111","1995"
"29.26","32.62","32.63","26.38","26.34","0904","0419","090411","041818","13130111","1996"
"30.10","33.65","33.66","26.95","26.90","0812","0516","081211","051619","13130111","1997"
"30.52","32.88","32.89","27.79","27.76","0613","0412","061311","041219","13130111","1998"
"30.60","34.83","34.85","27.15","27.09","0814","0526","081410","052616","13130111","1999"
"30.32","33.80","33.81","27.13","27.00","0829","0608","082912","061621","13130111","2000"
"31.57","35.22","35.24","27.19","27.15","1002","0518","100203","051818","13130111","2001"
"29.53","31.61","31.66","26.96","26.92","0101","0516","010103","051617","13130111","2002"
"29.00","31.55","31.56","25.92","25.86","1018","0606","101904","060617","13130111","2003"
"29.66","32.90","32.91","26.42","26.36","0927","0518","092705","051811","13130111","2004"
"31.36","36.25","36.28","27.53","27.44","0721","0505","072113","050518","13130111","2005"
"30.58","34.31","34.34","27.13","27.07","0727","0528","072804","052817","13130111","2006"
"29.93","34.56","34.57","26.40","26.35","0823","0518","082302","051618","13130111","2007"
"31.22","34.58","34.61","27.32","27.28","0730","0528","073103","051917","13130111","2008"
"30.10","33.31","33.33","27.33","27.28","0813","0522","081403","052118","13130111","2009"
"29.78","34.99","35.08","26.37","26.30","0920","0522","092016","052218","13130111","2010"
"29.04","31.20","31.22","26.44","26.36","0905","0619","090503","061918","13130111","2011"
"30.22","34.28","34.28","26.82","26.79","0623","0515","062304","051518","13130111","2012"
"28.72","32.00","32.01","26.42","26.36","0926","0515","092605","051520","13130111","2013"
"28.13","29.82","29.83","26.35","26.30","0928","0602","092707","060219","13130111","2014"
"27.47","29.90","29.92","25.00","24.93","1102","0518","110205","051920","13130111","2015"
"29.80","34.56","34.59","23.28","22.69","0929","0828","092910","082910","13130111","2016"
"28.82","30.79","30.84","26.45","26.42","0808","0529","010101","053119","13130111","2017"
"29.65","35.26","35.29","25.45","0.00","0830","0609","082923","020215","13130111","2018"
"29.70","33.29","33.30","26.82","26.78","0909","0609","090904","060819","13130111","2019"
"30.18","30.77","30.80","29.42","29.38","1101","1231","110105","123117","13130121","1995"
"29.24","32.59","32.61","26.38","26.34","0903","0419","090306","041818","13130121","1996"
"30.06","33.54","33.55","26.92","26.86","0812","0516","081202","051619","13130121","1997"
"30.50","32.86","32.89","27.80","27.76","0613","0412","061315","041219","13130121","1998"
"30.57","34.77","34.79","27.11","27.05","0814","0526","081407","052616","13130121","1999"
"30.28","33.73","33.75","27.09","27.06","0829","0608","083003","060718","13130121","2000"
"31.52","35.18","35.20","27.14","27.09","1002","0518","100202","051818","13130121","2001"
"29.46","31.55","31.59","26.86","26.80","0101","0516","010104","051619","13130121","2002"
"28.96","31.56","31.57","25.87","25.81","1018","0606","101803","060617","13130121","2003"
"29.60","32.83","32.85","26.33","26.29","0926","0518","092705","051811","13130121","2004"
"31.31","36.27","36.32","27.43","27.35","0721","0505","072117","050518","13130121","2005"
"30.51","34.24","34.26","27.08","27.03","0728","0528","072804","052818","13130121","2006"
"29.87","34.50","34.51","26.33","26.27","0823","0516","082305","051618","13130121","2007"
"31.16","34.53","34.55","27.27","27.23","0731","0519","073102","051917","13130121","2008"
"30.02","33.21","33.23","27.24","27.19","0814","0522","081406","052118","13130121","2009"
"32.88","33.95","33.95","31.62","31.57","1001","1130","100124","113017","13130121","2010"
"28.95","31.12","31.14","26.34","26.25","0918","0619","091804","061918","13130121","2011"
"30.20","34.22","34.24","26.75","26.72","0623","0425","062403","042511","13130121","2012"
"28.63","31.85","31.90","26.26","26.20","0930","0515","100101","051519","13130121","2013"
"28.14","29.84","29.86","26.34","26.28","0927","0602","092805","060219","13130121","2014"
"27.51","29.90","29.92","25.05","25.00","1007","0519","100704","051819","13130121","2015"
"29.98","34.81","34.83","23.16","22.90","0930","0830","092916","083015","13130121","2016"
"29.10","31.07","31.10","26.77","26.71","0101","0515","010101","051519","13130121","2017"
"29.58","35.18","35.21","25.46","20.89","0830","0606","083004","091310","13130121","2018"
"29.59","33.14","33.22","26.72","26.68","0908","0515","090814","051515","13130121","2019"
"21.14","22.88","22.90","18.62","18.39","0906","0515","090607","051620","13130211","1997"
"21.41","22.56","22.65","19.20","19.05","0915","0412","091606","041220","13130211","1998"
"21.22","22.91","22.92","18.83","18.54","0812","0524","081407","052320","13130211","1999"
"21.12","22.75","22.85","18.66","18.43","0829","0608","083005","060419","13130211","2000"
"21.38","22.98","23.08","18.84","18.52","0831","0518","091405","051519","13130211","2001"
"21.12","22.10","22.22","19.11","18.82","0813","0625","081306","062520","13130211","2002"
"20.56","22.55","22.77","18.25","17.98","1125","0508","112506","050820","13130211","2003"
"20.64","22.46","22.56","18.11","17.85","0924","0513","092605","051320","13130211","2004"
"21.24","22.99","23.07","18.77","18.46","0724","0505","072406","050520","13130211","2005"
